id,count
1|,1030
2|44-C41-52-A-,80
2|37-C40-38-B-,129
2|20-A-28-C41-,61
2|34-B-35-C40-,112
2|37-C41-38-A-,71
2|20-B-28-C40-,139
3|35-A-45-C41-53-A-54-C41-,6
3|56-C40-57-A-65-C40-75-A-,12
3|53-B-54-C40-65-C40-75-B-,37
3|65-C40-75-A01-85-A-,5
3|35-B-45-C40-65-C41-75-A-,12
3|35-B-45-C40-53-A-54-C40-,22
3|56-C40-57-A-65-C40-75-B-,20
3|53-A-54-C40-56-C40-57-B-,10
3|56-C41-57-A-65-C40-75-A-,6
3|25-A-35-A00-45-C40-,4
4|102-B-42-B-54-A01-66-C41-90-C40-,4
4|102-A01-114-B-79-C40-80-A-90-C41-,1
4|102-A-54-A-66-C40-79-C40-80-A-90-C40-,4
4|53-B-54-B20-66-C40-79-C40-80-B-,2
4|102-A01-114-A-76-B-77-C40-90-C41-,2
4|54-B-66-C40-76-B20-77-C40-88-B-,2
4|102-B-54-A-66-C41-76-A-77-C41-90-C40-,4
4|76-A-77-C41-79-C40-80-A00-81-A-,1
4|76-B-77-C40-79-C40-80-B10-92-A-,2
4|102-A-53-A-54-B20-66-C40-90-C41-,1
5|103-A-104-C40-106-C40-107-B-119-C40-133-A-77-B-91-C40-,4
5|119-C41-133-A-49-A-63-A01-77-B01-91-C40-,1
5|106-C40-107-B20-119-C40-133-A00-147-B-93-B-,1
5|106-C40-107-A-119-C40-133-B-63-B-77-A00-91-C40-,2
5|102-A-103-B0110-104-C40-119-C41-133-A-89-B-,2
5|119-C40-133-B-63-B10-64-B-77-A00-91-C40-,1
5|103-A-104-C41-106-C40-107-A01-108-A-77-B-91-C40-,1
5|103-B-104-C40-106-C41-107-A-119-C40-133-A00-147-B-,3
5|102-A-103-A00-104-C40-106-C40-107-B-119-C40-133-A-,2
6|103-B-104-B0020-120-C40-137-C40-138-B-152-C40-168-B-88-B-,2
6|106-A00-122-A00-134-A-135-C41-137-C40-138-B20-90-B-,1
6|104-A00-120-C40-137-C41-138-A01-139-B-152-C40-168-A-88-B-,1
6|118-A-134-B11-135-C40-137-C40-138-A01-139-A01-140-A-,1
6|133-A-134-B01-135-C40-152-C40-168-B0020-169-B-184-B-,1
6|104-A01-120-C41-134-B-135-C40-152-C40-168-B-87-B-88-B10-,1
6|104-B00-120-C40-134-B-135-C40-137-C40-138-B-152-C41-168-A-88-A-,1
6|137-C40-138-B00-139-B-152-C40-167-B20-168-B10-183-A-,1
6|104-B-118-A-120-C40-133-B-134-B0010-135-C40-152-C41-168-A-,1
6|134-B-135-C40-137-C40-138-B-152-C41-168-A01-184-B00-200-B-,1
7|116-A-117-B20-134-A-135-B001021-136-A-153-C40-169-A-170-C40-,1
7|117-A-134-A-135-B001121-136-A-153-C40-172-C40-173-B-189-C40-207-B-,1
