bricks,hinges,modules,size,proportion2d,proportionNiels,single_neighbour_brick_ratio,single_neighbour_ratio,double_neighbour_brick_and_active_hinge_ratio,maxrel_llimbs,meanrel_llimbs,stdrel_llimbs,nlimbs,joints,joint_brick_ratio,symmetry_incl1,symmetry_incl2,symmetry_incl3,symmetry_incl4,symmetry_excl1,symmetry_excl2,symmetry_excl3,symmetry_excl4,coverage,branching,surface_area,id_string,experiment_id,generation_index,individual_index
0,29,30,1.0,0.16666666666666666,0.8620689655172414,0.0,1.0,0.8928571428571429,0.896551724137931,0.25,0.8620689655172414,4,0.0,1.0,1.0,0.07407407407407407,0.0,0.0,1.0,0.07407407407407407,0.0,0.0,0.2,1.0,0.6986301369863014,30|1952-A-2016-C41-2053-A-2054-A00-2055-A00-2056-A00-2057-A00-2058-A00-2059-A00-2060-A00-2061-A00-2062-A00-2063-A00-2064-A00-2065-A00-2066-A00-2067-A00-2068-A00-2069-A00-2070-A00-2071-A00-2072-A00-2073-A00-2074-A00-2075-A00-2076-A00-2077-A00-2078-A00-2079-C41-2081-C41-2082-A-2144-C41-2208-A-,1,0,1
0,0,1,0.03333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,1.0,1|,1,0,2
5,24,30,1.0,0.9166666666666666,0.034482758620689655,0.25,0.8571428571428571,0.4642857142857143,0.1724137931034483,0.14655172413793102,0.034482758620689655,4,0.14285714285714285,0.8275862068965517,0.38095238095238093,0.8,0.2222222222222222,0.2222222222222222,0.5714285714285714,0.8,0.37037037037037035,0.37037037037037035,0.22727272727272727,0.8333333333333334,0.7846153846153846,30|1760-A-1824-A00-1888-A01-1950-A-1951-A-1952-B001020-1953-A-1954-A-2014-A00-2016-C40-2018-A01-2075-A-2076-A00-2077-A01-2078-B001020-2079-C40-2081-C40-2082-B011021-2083-A01-2084-A00-2085-A-2142-A00-2144-C41-2146-A00-2206-A-2208-A01-2210-A-2272-A00-2335-A-2336-B001020-2337-A-2400-A00-2464-B-,1,0,3
0,0,1,0.03333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,1.0,1|,1,0,4
0,1,2,0.06666666666666667,0.75,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,2|37-C40-38-A-,1,0,5
1,14,16,0.5333333333333333,0.7,0.12765694770084507,0.0,1.0,0.5714285714285714,0.26666666666666666,0.18333333333333332,0.12765694770084507,4,0.14285714285714285,0.9333333333333333,0.36363636363636365,0.75,0.26666666666666666,0.26666666666666666,0.5454545454545454,0.75,0.26666666666666666,0.26666666666666666,0.22857142857142856,1.0,0.7555555555555555,16|522-A-558-A00-594-A00-630-C40-663-A-664-A00-665-C40-667-C40-668-A00-669-A-702-C40-738-A00-772-A-773-A00-774-B001020-775-A00-776-A-810-A00-846-A-,1,0,6
4,0,5,0.16666666666666666,1.0,0.0,1.0,1.0,0.0,0.25,0.25,0.0,4,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.9130434782608695,5|103-B-104-C40-106-C40-107-B-119-C40-133-B-77-B-91-C40-,1,0,7
6,23,30,1.0,0.6153846153846154,0.15292108845574795,0.2,0.75,0.42857142857142855,0.3103448275862069,0.14655172413793102,0.2478604442856072,4,0.21428571428571427,0.7931034482758621,0.15384615384615385,0.2,0.14285714285714285,0.13793103448275862,0.3076923076923077,0.2,0.14285714285714285,0.13793103448275862,0.28846153846153844,0.5714285714285714,0.7391304347826086,30|1568-A-1631-A-1632-A00-1692-A-1693-A00-1694-A01-1695-B001020-1696-B0121-1697-A-1759-A01-1823-A00-1824-A-1886-A-1887-B011121-1888-B001020-1889-A01-1890-A00-1891-A-1951-A-1952-A01-2016-C41-2078-A-2079-C41-2081-C41-2082-A00-2083-A-2144-C41-2208-A00-2272-A01-2334-A-2335-A01-2336-B1020-2337-B-,1,0,8
5,24,30,1.0,1.0,0.16893032708849504,0.5,0.5714285714285714,0.6785714285714286,0.27586206896551724,0.21551724137931033,0.08677970615253737,4,0.0,0.8275862068965517,0.09090909090909091,0.0,0.0,0.2857142857142857,0.18181818181818182,0.21052631578947367,0.13793103448275862,0.2857142857142857,0.17751479289940827,0.5,0.796875,30|1504-A-1568-A00-1632-A00-1696-A00-1760-A00-1824-A00-1888-A00-1952-A00-2016-C41-2018-B-2074-A-2075-A00-2076-A00-2077-A00-2078-A00-2079-C41-2081-C40-2082-B001020-2083-B-2144-C40-2146-B20-2147-A00-2148-A00-2149-A00-2150-A-2207-A-2208-B001020-2209-A00-2210-A00-2211-A00-2212-A00-2213-A-2272-A-,1,0,9
0,0,1,0.03333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,1.0,1|,1,0,10
